x,y
864,1.692308
865,1.733407
866,1.73663
867,1.778535
868,1.791429
869,1.789011
870,1.833333
871,1.86315
872,1.852674
873,1.878462
874,1.930037
875,1.936484
876,1.950989
877,2.009011
878,2.039634
879,2.053334
880,2.111355
881,2.174212
882,2.179048
883,2.208059
884,2.257216
885,2.255605
886,2.242711
887,2.208059
888,2.15729
889,2.130696
890,2.091209
891,2.020293
892,1.979194
893,1.934066
894,1.845421
895,1.761612
896,1.722125
897,1.631868
898,1.567399
899,1.544029
900,1.524689
901,1.481978
902,1.482784
903,1.507766
904,1.480366
905,1.472308
906,1.504542
907,1.521465
908,1.503736
909,1.523883
910,1.533553
911,1.503736
912,1.515824
913,1.544835
914,1.519048
915,1.501319
916,1.533553
917,1.521465
918,1.486007
919,1.505348
920,1.517436
921,1.478755
922,1.489231
923,1.517436
924,1.482784
925,1.474725
926,1.515824
927,1.512601
928,1.472308
929,1.486813
930,1.503736
931,1.465861
932,1.474725
933,1.519048
934,1.514212
935,1.519048
936,1.533553
937,1.542418
938,1.5537
939,1.608498
940,1.646374
941,1.602857
942,1.557729
943,1.544835
944,1.498901
945,1.473919
946,1.461832
947,1.436044
948,1.429597
949,1.47956
950,1.49326
951,1.467473
952,1.481978
953,1.523077
954,1.560952
955,1.724542
956,2.004982
957,2.423223
958,2.783443
959,2.82696
960,2.297509
961,1.502125
962,0.761538
963,0.187766
964,0.484322
965,1.162857
966,1.585128
967,1.657656
968,1.630256
969,1.685055
970,1.712454
971,1.702784
972,1.737436
973,1.770476
974,1.763224
975,1.771282
976,1.825275
977,1.824469
978,1.814799
979,1.857509
980,1.878462
981,1.867985
982,1.905055
983,1.936484
984,1.944542
985,1.955824
986,2.018681
987,2.041245
988,2.034799
989,2.112967
990,2.152454
991,2.155678
992,2.199194
993,2.241905
994,2.228205
995,2.212894
996,2.220147
997,2.173407
998,2.124249
999,2.114579
1000,2.071062
1001,1.994506
1002,1.958242
1003,1.917143
1004,1.822051
1005,1.743883
1006,1.711648
1007,1.638315
1008,1.584322
1009,1.570623
1010,1.535971
1011,1.499707
1012,1.521465
1013,1.529524
1014,1.501319
1015,1.494872
1016,1.529524
1017,1.519853
1018,1.515824
1019,1.545641
1020,1.542418
1021,1.520659
1022,1.535165
1023,1.552894
1024,1.527106
1025,1.527912
1026,1.552894
1027,1.527106
1028,1.510989
1029,1.534359
1030,1.527106
1031,1.495678
1032,1.507766
1033,1.515824
1034,1.490037
1035,1.486007
1036,1.503736
1037,1.490037
1038,1.470696
1039,1.485201
1040,1.486813
1041,1.465861
1042,1.488425
1043,1.522271
1044,1.520659
1045,1.519048
1046,1.536777
1047,1.546447
1048,1.569011
1049,1.625421
1050,1.618168
1051,1.547253
1052,1.527106
1053,1.520659
1054,1.473114
1055,1.430403
1056,1.432821
1057,1.430403
1058,1.440073
1059,1.475531
1060,1.484396
1061,1.464249
1062,1.492454
1063,1.525494
1064,1.618974
1065,1.838974
1066,2.185495
1067,2.568278
1068,2.648865
1069,2.264469
1070,1.507766
1071,0.848571
1072,0.248205
1073,0.278828
1074,0.783297
1075,1.291795
1076,1.547253
1077,1.572234
1078,1.564176
1079,1.627839
1080,1.642344
1081,1.64315
